country,code,life,GDP
"Macao SAR, China",MAC,75.27697561,8312.175674
Morocco,MAR,64.6804878,1199.190005
Moldova,MDA,67.46565854,972.0930952
Madagascar,MDG,51.00809756,266.8922556
Maldives,MDV,61.4185122,986.646813
Middle East & North Africa,MEA,65.79824927,2136.323906
Mexico,MEX,70.79573171,3068.702424
Middle income,MIC,64.11829989,904.3398012
"Macedonia, FYR",MKD,71.14763415,2240.140336
Mali,MLI,46.46470732,316.1858565
Malta,MLT,75.17578049,7192.394285
Mongolia,MNG,60.2677561,1172.443066
Mozambique,MOZ,43.12590244,187.8638173
Mauritania,MRT,58.35880488,503.8387137
Mauritius,MUS,69.40487805,2506.184933
Malawi,MWI,43.76602439,199.8920812
Malaysia,MYS,70.7574878,2417.436902
North America,NAC,75.43126468,23696.37127
Namibia,NAM,61.22495122,1981.251916
New Caledonia,NCL,70.48536585,14800.02869
Niger,NER,43.95119512,313.5376232
Nigeria,NGA,46.11026829,321.6683709
Nicaragua,NIC,64.135,243.5613194
Netherlands,NLD,76.87804878,21019.12567
Norway,NOR,76.53731707,28242.94374
Nepal,NPL,54.19473171,193.5556313
New Zealand,NZL,75.37804878,13663.2011
OECD members,OED,74.66476321,17472.18195
Oman,OMN,67.26773171,6448.134853
Other small states,OSS,62.37174271,3094.939876
Pakistan,PAK,60.11121951,371.817707
Panama,PAN,73.0462439,2276.681721
Peru,PER,65.53043902,1177.920121
Philippines,PHL,65.28807317,715.3107015
Palau,PLW,69.06926829,5095.63258
Papua New Guinea,PNG,55.70934146,774.3639919
Poland,POL,70.8902439,1698.006922
Pre-demographic dividend,PRE,49.46233501,403.4968985
Puerto Rico,PRI,74.16917073,8652.507492
Portugal,PRT,73.96585366,7885.394019
Paraguay,PRY,68.01260976,1351.578779
Pacific island small states,PSS,63.67853275,1426.361135
Post-demographic dividend,PST,75.46042293,19009.49612
French Polynesia,PYF,68.82860976,16036.73088
Qatar,QAT,75.11607317,15447.59509
Romania,ROU,69.74121951,1650.692978
Russian Federation,RUS,68.90243902,3485.112202
Rwanda,RWA,33.48512195,351.2778271
South Asia,SAS,58.22082512,363.6563371
Saudi Arabia,SAU,69.16702439,7137.392024
Sudan,SDN,55.51446341,481.4966695
Senegal,SEN,57.18309756,760.7787608
Singapore,SGP,75.29512195,11864.53369
Solomon Islands,SLB,56.7047561,970.0689337
Sierra Leone,SLE,37.35341463,165.2532318
El Salvador,SLV,63.988,914.094639
Sub-Saharan Africa (excluding high income),SSA,49.91391662,602.7029912
Sub-Saharan Africa,SSF,49.91391662,603.347845
Small states,SST,64.15393528,2950.733353
Suriname,SUR,67.50187805,951.0723138
Slovak Republic,SVK,70.93268293,2395.564582
Sweden,SWE,77.53682927,30162.31577
Swaziland,SWZ,59.34519512,1292.057418
Syrian Arab Republic,SYR,70.10626829,988.5223252
Chad,TCD,46.92436585,291.8091874
East Asia & Pacific (IDA & IBRD countries),TEA,67.87720345,422.7975526
Europe & Central Asia (IDA & IBRD countries),TEC,68.53923192,2371.422489
Togo,TGO,55.84843902,430.01123
Thailand,THA,70.23060976,1508.287909
Tajikistan,TJK,62.86478049,496.3664537
Turkmenistan,TKM,62.67414634,869.5582446
Latin America & the Caribbean (IDA & IBRD countries),TLA,67.52942966,2546.650588
Tonga,TON,69.58231707,1193.49905
South Asia (IDA & IBRD),TSA,58.22082512,363.6563371
Sub-Saharan Africa (IDA & IBRD countries),TSS,49.91391662,603.347845
Trinidad and Tobago,TTO,68.02290244,4147.625345
Tunisia,TUN,70.30731707,1507.231456
Turkey,TUR,64.28234146,2790.580487
Tanzania,TZA,49.97756098,172.0542158
Uganda,UGA,45.05626829,247.6017114
Ukraine,UKR,70.13658537,1569.739433
Upper middle income,UMC,68.31333522,1296.218181
Uruguay,URY,72.53953659,2989.993095
United States,USA,75.21463415,23954.47935
Uzbekistan,UZB,66.68417073,651.4192097
St. Vincent and the Grenadines,VCT,70.07665854,2235.76868
"Venezuela, RB",VEN,69.82860976,2367.717524
Virgin Islands (U.S.),VIR,74.788,15050.54714
Vietnam,VNM,70.41819512,98.031869
Vanuatu,VUT,63.19685366,1080.230278
World,WLD,65.38618244,4270.843149
Samoa,WSM,65.04041463,772.211776
"Yemen, Rep.",YEM,57.76419512,472.1348689
South Africa,ZAF,62.12007317,3182.23967
Zambia,ZMB,44.31246341,403.8222344
Zimbabwe,ZWE,59.58307317,837.7690557
