code,female1960,male1960,female1970,male1970,female1980,male1980,female1990,male1990,female2000,male2000,female2010,male2010
TKM,58.126,50.966,62.019,54.871,64.533,57.363,66.469,59.06,67.898,60.091,69.316,60.931
TLA,57.56037136,53.77774798,62.50915073,57.61247899,66.97597511,60.99664151,70.89578226,64.32797781,74.72820525,68.14411366,77.2942467,70.70183746
TMN,47.21703683,46.13245502,53.28994967,51.4897473,60.57050517,55.6253272,67.24937049,63.13111654,70.9627638,67.46806083,73.57725289,69.47199819
TLS,34.32,33.182,40.195,38.914,35.425,33.494,50.113,46.934,60.608,58.146,68.804,65.884
TON,61.72,61.026,65.658,64.149,68.789,66.37,71.123,68.115,72.8,68.818,75.16,69.347
TSA,41.4440727,42.44647722,47.72705185,48.49625452,54.22616172,53.87994325,58.6682764,57.79708159,63.76687797,62.08650927,67.91255428,65.53463903
TSS,41.53738964,38.86758975,45.76527116,42.869962,49.73296251,46.66649694,51.54347397,48.36603833,51.47617495,49.26757819,57.52163293,55.21836616
TTO,64.313,61.081,67.352,62.976,69.827,64.43,70.946,65.239,72.379,64.994,73.386,66.38
TUN,43.007,41.06,52.288,50.052,63.242,60.865,72.1,68.6,74.7,70.6,76.6,72.7
TUR,48.433,42.481,55.079,49.578,62.153,55.395,68.027,60.716,73.786,66.393,77.58,70.768
TUV,,,,,,,,,,,,
TZA,45.381,42.009,48.402,45.041,52.176,48.842,51.487,48.54,51.06,49.899,62.755,60.55
UGA,45.598,42.446,50.358,47.349,50.872,47.574,47.25,42.967,47.555,45.339,57.069,54.663
UKR,71.091,65.641,74.237,66.424,73.739,64.131,74.9,65.6,73.55,62.44,75.5,65.28
UMC,51.68747282,47.46049538,62.26463888,57.54449895,67.87561457,63.11668855,70.87683873,65.92870148,73.15189223,68.22983418,75.9657486,71.27764329
URY,71.093,64.852,72.012,65.518,73.802,66.938,76.381,68.881,78.488,71.065,80.086,72.879
USA,73.1,66.6,74.7,67.1,77.4,70,78.8,71.8,79.3,74.1,81,76.2
UZB,62.475,55.467,66.354,59.365,68.868,61.848,69.953,63.571,70.268,63.772,71.251,64.633
VCT,59.724,55.819,66.941,62.844,69.69,65.173,72.359,67.903,73.034,68.247,74.451,70.342
VEN,60.96,57.69,67.155,62.243,71.177,65.314,72.68,67.113,76.394,68.491,77.93,69.616
VGB,,,,,,,,,,,,
VIR,65.905,61.659,70.671,64.958,74.777,68.233,78.736,71.028,80,73.4,82.4,76.1
VNM,62.678,55.628,64.964,54.759,71.963,63.12,75.072,65.986,78.122,68.412,80.015,70.205
VUT,47.979,45.067,54.042,50.992,60.382,56.791,64.673,61.791,69.319,65.875,72.868,68.928
PSE,,,,,,,69.633,66.548,72.464,69.135,74.234,70.292
WLD,54.41959092,50.59465139,60.68149134,56.50899786,65.01668567,60.68472853,67.63147288,63.23781434,69.78383463,65.52113666,72.62282721,68.43903112
WSM,53.35,46.75,58.35,51.75,63.35,56.75,68.425,61.817,72.792,66.34,75.651,69.337
YEM,35.548,33.236,42.515,39.843,52.112,49.081,59.31,56.292,61.89,59.091,64.124,61.478
ZAF,50.83,47.328,55.573,50.258,60.372,53.736,65.939,58.483,58.047,53.732,56.144,52.721
COD,42.465,39.64,45.295,42.46,47.757,44.918,50.464,47.592,51.478,48.598,58.36,55.502
