station,date,min,max,rain
380,20160401,21,125,-1
380,20160402,73,143,-1
380,20160403,119,203,-1
380,20160404,106,168,11
380,20160405,62,136,49
380,20160406,60,136,8
380,20160407,39,119,25
380,20160408,38,112,11
380,20160409,18,155,0
380,20160410,62,173,2
380,20160411,65,211,16
380,20160412,61,181,68
380,20160413,45,125,0
380,20160414,37,170,13
380,20160415,91,166,38
380,20160416,43,140,7
380,20160417,18,103,13
380,20160418,2,130,0
380,20160419,28,145,0
380,20160420,18,143,0
380,20160421,20,194,0
380,20160422,75,148,0
380,20160423,8,95,12
380,20160424,0,76,20
380,20160425,3,74,112
380,20160426,10,58,45
380,20160427,8,77,62
380,20160428,0,113,12
380,20160429,36,112,86
380,20160430,47,92,50
380,20160501,44,132,0
380,20160502,22,185,-1
380,20160503,46,147,37
380,20160504,18,150,0
380,20160505,55,196,0
380,20160506,86,244,0
380,20160507,134,255,12
380,20160508,146,247,0
380,20160509,140,247,-1
380,20160510,146,200,14
380,20160511,129,244,-1
380,20160512,133,235,76
380,20160513,99,226,0
380,20160514,54,130,-1
380,20160515,51,129,1
380,20160516,63,129,0
380,20160517,74,181,0
380,20160518,100,191,25
380,20160519,86,189,12
380,20160520,94,177,2
380,20160521,132,241,0
380,20160522,135,200,79
380,20160523,96,140,172
380,20160524,88,136,-1
380,20160525,78,168,-1
380,20160526,83,219,8
380,20160527,122,228,115
380,20160528,109,235,0
380,20160529,130,186,86
380,20160530,149,166,243
380,20160531,144,204,0
380,20160601,131,162,459
380,20160602,142,236,59
380,20160603,134,210,16
380,20160604,134,191,-1
380,20160605,149,264,0
380,20160606,144,261,-1
380,20160607,148,266,58
380,20160608,127,237,0
380,20160609,114,213,0
380,20160610,93,217,0
380,20160611,139,225,-1
380,20160612,145,221,94
380,20160613,136,198,149
380,20160614,127,207,5
380,20160615,103,186,103
380,20160616,89,190,21
380,20160617,121,189,136
380,20160618,118,179,192
380,20160619,111,193,2
380,20160620,119,198,74
380,20160621,144,212,6
380,20160622,155,253,0
380,20160623,169,322,356
380,20160624,170,242,-1
380,20160625,112,176,43
380,20160626,104,191,6
380,20160627,120,194,49
380,20160628,131,215,21
380,20160629,134,208,2
380,20160630,146,203,26
380,20160701,147,215,76
380,20160702,116,178,24
380,20160703,116,194,1
380,20160704,119,225,0
380,20160705,99,210,-1
380,20160706,95,209,0
380,20160707,108,227,0
380,20160708,156,244,0
380,20160709,165,250,0
380,20160710,184,298,0
380,20160711,165,236,-1
380,20160712,121,215,31
380,20160713,99,189,108
380,20160714,89,191,6
380,20160715,87,212,-1
380,20160716,149,240,0
380,20160717,163,250,0
380,20160718,148,289,0
380,20160719,160,308,0
380,20160720,209,339,0
380,20160721,195,279,0
380,20160722,181,266,0
380,20160723,181,258,0
380,20160724,172,265,0
380,20160725,156,252,-1
380,20160726,156,231,0
380,20160727,131,229,-1
380,20160728,155,238,32
380,20160729,150,239,6
380,20160730,147,235,-1
380,20160731,109,211,18
380,20160801,105,228,25
380,20160802,133,179,110
380,20160803,171,194,117
380,20160804,139,202,0
380,20160805,122,218,32
380,20160806,119,224,0
380,20160807,116,249,0
380,20160808,135,216,-1
380,20160809,100,195,40
380,20160810,80,164,25
380,20160811,73,170,69
380,20160812,144,227,-1
380,20160813,138,238,0
380,20160814,130,231,0
380,20160815,134,227,0
380,20160816,109,239,0
380,20160817,119,256,0
380,20160818,104,250,0
380,20160819,128,247,-1
380,20160820,142,235,6
380,20160821,133,196,44
380,20160822,136,237,48
380,20160823,153,287,0
380,20160824,152,321,0
380,20160825,173,333,0
380,20160826,195,310,0
380,20160827,174,323,33
380,20160828,152,271,0
380,20160829,142,209,4
380,20160830,110,238,0
380,20160831,119,257,0
380,20160901,127,229,0
380,20160902,126,233,-1
380,20160903,132,245,0
380,20160904,150,215,117
380,20160905,140,225,0
380,20160906,119,260,0
380,20160907,130,266,0
380,20160908,138,276,0
380,20160909,124,234,0
380,20160910,109,261,0
380,20160911,154,258,0
380,20160912,150,295,0
380,20160913,190,327,0
380,20160914,175,322,0
380,20160915,145,285,24
380,20160916,143,224,0
380,20160917,125,221,5
380,20160918,134,180,0
380,20160919,126,198,0
380,20160920,97,188,0
380,20160921,115,211,0
380,20160922,88,216,0
380,20160923,116,222,0
380,20160924,100,246,0
380,20160925,123,266,0
380,20160926,81,194,0
380,20160927,72,225,0
380,20160928,131,225,0
380,20160929,136,218,16
380,20160930,118,183,-1
380,20161001,95,192,26
380,20161002,94,154,16
380,20161003,97,178,21
380,20161004,83,156,0
380,20161005,42,146,0
380,20161006,21,117,0
380,20161007,94,146,-1
380,20161008,47,145,0
380,20161009,32,135,0
380,20161010,27,131,30
380,20161011,15,126,-1
380,20161012,52,94,7
380,20161013,29,129,0
380,20161014,72,122,18
380,20161015,86,159,30
380,20161016,84,208,0
380,20161017,94,158,0
380,20161018,74,146,37
380,20161019,71,113,109
380,20161020,67,113,22
380,20161021,55,91,1
380,20161022,21,110,0
380,20161023,-14,82,0
380,20161024,65,114,31
380,20161025,84,103,0
380,20161026,57,125,0
380,20161027,71,137,0
380,20161028,111,131,0
380,20161029,66,158,0
380,20161030,51,153,0
380,20161031,41,157,0
380,20161101,52,149,-1
380,20161102,49,105,15
380,20161103,44,104,0
380,20161104,46,103,5
380,20161105,57,106,13
380,20161106,37,78,4
380,20161107,26,55,95
380,20161108,7,65,-1
380,20161109,19,57,125
380,20161110,28,79,53
380,20161111,3,54,18
380,20161112,-7,63,0
380,20161113,32,58,30
380,20161114,-11,51,24
380,20161115,45,102,58
380,20161116,100,123,223
380,20161117,86,121,74
380,20161118,37,119,90
380,20161119,47,80,0
380,20161120,54,140,11
380,20161121,117,144,13
380,20161122,78,128,0
380,20161123,85,127,-1
380,20161124,45,107,1
380,20161125,12,79,0
380,20161126,12,69,0
380,20161127,,,
380,20161128,,,
380,20161129,,,
380,20161130,-57,41,0
380,20161201,15,56,-1
